taxon_id,genus_id,family_id,full_scientific_name,note
427,,,PYROLACEAE,family; not in TaiCOL (merged into Ericaceae)
196018,121608,101329,Angelica pubescens Maxim. var. tatunensis S.W.Chung & T.C.Hsu,Apiaceae
196019,123284,101284,"Symplocos jinshueiyingensis C.C.Wang, W.Yu Wang & C.K.Yang",Symplocaceae
196020,123153,101168,Schoenoplectus tabernaemontani (C.C.Gmel.) Palla,Cyperaceae
196021,,,Rhodoleia henryi K.Y.Tong,genus not in TaiCOL tree 2
196022,121914,101174,Cissampelos pareira L. var. hirsuta (Buch.-Ham. ex DC.) Forman,Menispermaceae
196023,121703,101175,Berberis insignis Hook.f. & Thomson subsp. incrassata (Ahrendt) D.F.Chamb. & C.M.Hu,Berberidaceae
196024,,,Caulophyllum thalictroides (L.) Michx.,genus not in TaiCOL tree 2
196025,121606,101176,Anemone imbricata Maxim.,Ranunculaceae
196026,123914,101176,Delphinium thibeticum Finet & Gagnep.,Ranunculaceae
196027,123402,101170,Trisetum scitulum Bor,Poaceae
